neighbourhood_cleansed,proportion
ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,18.0
ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,9.0
ΝΕΟΣ ΚΟΣΜΟΣ,8.0
ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,7.0
ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,6.0
ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,4.0
ΠΑΓΚΡΑΤΙ,4.0
ΑΜΠΕΛΟΚΗΠΟΙ,4.0
ΚΟΛΩΝΑΚΙ,3.0
ΑΚΡΟΠΟΛΗ,3.0
ΠΕΤΡΑΛΩΝΑ,3.0
ΘΗΣΕΙΟ,3.0
ΚΕΡΑΜΕΙΚΟΣ,3.0
ΚΥΨΕΛΗ,2.0
ΣΤΑΔΙΟ,2.0
ΓΟΥΔΙ,2.0
ΙΛΙΣΙΑ,2.0
ΖΑΠΠΕΙΟ,1.0
ΠΛΑΤΕΙΑ ΑΜΕΡΙΚΗΣ,1.0
ΝΙΡΒΑΝΑ,1.0
ΛΥΚΑΒΗΤΤΟΣ,1.0
ΠΑΤΗΣΙΑ,1.0
ΓΚΥΖΗ,1.0
ΑΝΩ ΚΥΨΕΛΗ,1.0
ΚΟΛΩΝΟΣ,1.0
ΓΚΑΖΙ,1.0
ΑΓΙΟΣ ΝΙΚΟΛΑΟΣ,1.0
ΠΕΔΙΟ ΑΡΕΩΣ,1.0
ΑΚΑΔΗΜΙΑ ΠΛΑΤΩΝΟΣ,1.0
ΓΟΥΒΑ,1.0
ΒΟΤΑΝΙΚΟΣ,1.0
ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ,1.0
ΕΛΛΗΝΟΡΩΣΩΝ,1.0
ΑΝΩ ΠΑΤΗΣΙΑ,1.0
ΝΕΑ ΚΥΨΕΛΗ,0.0
1Ο ΝΕΚΡΟΤΑΦΕΙΟ,0.0
ΣΕΠΟΛΙΑ,0.0
ΑΓΙΟΣ ΕΛΕΥΘΕΡΙΟΣ,0.0
ΠΟΛΥΓΩΝΟ,0.0
ΚΟΛΟΚΥΝΘΟΥ,0.0
ΠΡΟΜΠΟΝΑ,0.0
ΡΙΖΟΥΠΟΛΗ,0.0
ΡΗΓΙΛΛΗΣ,0.0
ΠΕΝΤΑΓΩΝΟ,0.0
