,neighbourhood_cleansed,less_than_3,more_than_3,price_difference
0,ΠΕΔΙΟ ΑΡΕΩΣ,50.0,99.0,49.0
1,1Ο ΝΕΚΡΟΤΑΦΕΙΟ,53.0,92.0,39.0
2,ΝΕΑ ΚΥΨΕΛΗ,53.0,86.5,33.5
3,ΖΑΠΠΕΙΟ,64.0,85.5,21.5
4,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,71.0,89.0,18.0
5,ΛΥΚΑΒΗΤΤΟΣ,52.5,68.5,16.0
6,ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ,47.0,59.5,12.5
7,ΣΤΑΔΙΟ,65.0,77.0,12.0
8,ΑΓΙΟΣ ΝΙΚΟΛΑΟΣ,46.0,58.0,12.0
9,ΚΟΛΩΝΟΣ,48.0,60.0,12.0
10,ΘΗΣΕΙΟ,65.0,77.0,12.0
11,ΠΑΓΚΡΑΤΙ,56.5,68.0,11.5
12,ΓΟΥΒΑ,60.0,71.5,11.5
13,ΑΜΠΕΛΟΚΗΠΟΙ,52.5,64.0,11.5
14,ΚΕΡΑΜΕΙΚΟΣ,68.0,79.0,11.0
15,ΑΓΙΟΣ ΕΛΕΥΘΕΡΙΟΣ,46.0,57.0,11.0
16,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,57.0,68.0,11.0
17,ΚΟΛΩΝΑΚΙ,82.0,89.0,7.0
18,ΑΚΡΟΠΟΛΗ,75.0,82.0,7.0
19,ΣΕΠΟΛΙΑ,48.5,55.0,6.5
20,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,47.0,53.0,6.0
21,ΝΙΡΒΑΝΑ,40.0,45.0,5.0
22,ΚΥΨΕΛΗ,54.5,59.0,4.5
23,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,86.0,89.0,3.0
24,ΝΕΟΣ ΚΟΣΜΟΣ,57.0,59.0,2.0
25,ΠΕΤΡΑΛΩΝΑ,59.0,60.5,1.5
26,ΑΚΑΔΗΜΙΑ ΠΛΑΤΩΝΟΣ,48.0,47.0,-1.0
27,ΙΛΙΣΙΑ,64.5,63.0,-1.5
28,ΕΛΛΗΝΟΡΩΣΩΝ,52.5,51.0,-1.5
29,ΓΟΥΔΙ,59.0,57.0,-2.0
30,ΠΛΑΤΕΙΑ ΑΜΕΡΙΚΗΣ,50.0,47.5,-2.5
31,ΓΚΑΖΙ,60.0,56.0,-4.0
32,ΠΑΤΗΣΙΑ,50.0,46.0,-4.0
33,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,50.0,46.0,-4.0
34,ΒΟΤΑΝΙΚΟΣ,61.0,55.0,-6.0
35,ΑΝΩ ΠΑΤΗΣΙΑ,45.0,34.0,-11.0
36,ΑΝΩ ΚΥΨΕΛΗ,49.0,38.0,-11.0
37,ΓΚΥΖΗ,49.0,34.5,-14.5
38,ΚΟΛΟΚΥΝΘΟΥ,40.0,,
39,ΠΕΝΤΑΓΩΝΟ,43.5,,
40,ΠΟΛΥΓΩΝΟ,63.5,,
41,ΠΡΟΜΠΟΝΑ,,55.0,
42,ΡΙΖΟΥΠΟΛΗ,41.0,,
